All,الكل
This class no longer exists.,This class no longer exists.
You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.,You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.
You cannot delete this tax class because it is used in existing %1(s).,You cannot delete this tax class because it is used in existing %1(s).
Custom price if available,الأسعار المخصصة إذا كان متوفراً
Original price only,السعر الأصلي فقط
Shipping Address,عنوان الشحن
Billing Address,عنوان الفاتورة
Shipping Origin,Shipping Origin
No (price without tax),لا ( سعر بدون ضريبة).
Yes (only price with tax),نعم (السعر فقط مع الضريبه)
Both (without and with tax),كلا من (بدون و مع الضريبة)
Invalid attribute %1,%1 سمة غير صالحة
Code,كود
Invalid type supplied,Invalid type supplied
Class name and class type,Class name and class type
No such entity with %fieldName = %fieldValue,No such entity with %fieldName = %fieldValue
Grand Total (Excl. Tax),المجموع الكلي (غير شامل الضريبة)
Grand Total (Incl. Tax),المجموع الكلي (شامل الضريبة)
Shipping (Excl. Tax),الشحن غير شامل الضريبة (%1)
Shipping (Incl. Tax),الشحن شامل الضريبة (%1)
Subtotal (Excl. Tax),الإجمالي (غير شامل الضريبة)
Subtotal (Incl. Tax),الإجمالي (شامل الضريبة)
Subtotal,الإجمالي
Unit Price,سعر الوحدة
Row Total,مجموع الصف
Total,إجمالي
Before Discount,Before Discount
After Discount,After Discount
Excluding Tax,Excluding Tax
Including Tax,Including Tax
None,لا شئ
Including and Excluding Tax,Including and Excluding Tax
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”."
Store(s) affected:,Store(s) affected:
Click on the link to <a href="%1">ignore this notification</a>,Click on the link to <a href="%1">ignore this notification</a>
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations."
Your current tax configuration may result in rounding errors.,Your current tax configuration may result in rounding errors.
Please see <a href="%1">documentation</a> for more details.,Please see <a href="%1">documentation</a> for more details.
Click here to go to <a href="%1">Tax Configuration</a> and change your settings.,اضغط هنا للانتقال إلى <a href="%1">ضبط الضرائب</a> وتغيير الإعدادات الخاصة بك.
Invalid type of tax class "%1",Invalid type of tax class "%1"
Updating classType is not allowed.,Updating classType is not allowed.
A class with the same name already exists for ClassType %1.,A class with the same name already exists for ClassType %1.
customer group,customer group
product,product
Excl. tax:,غير شامل الضريبة:
Incl. Tax,شامل الضريبة
Entity already exists,Entity already exists
Cannot save titles,Cannot save titles
Some Message,Some Message
Something went wrong,لقد حدث خطأ ما
Could not save,Could not save
No such entity,No such entity
Excl. Tax,غير شامل الضريبة
Note:,Note:
Leave this field empty if you wish to use the tax identifier.,Leave this field empty if you wish to use the tax identifier.
An error occurred,An error occurred
Do you really want to delete this tax rate?,Do you really want to delete this tax rate?
Save,حفظ
Add New Class,إضافة شريحة جديدة
Grand Total Excl. Tax,المجموع الكلي غير شامل الضريبة
Grand Total Incl. Tax,المجموع الكلي شامل الضريبة
Taxes,Taxes
Tax Section,Tax Section
Tax Classes,Tax Classes
Tax Class for Shipping,Tax Class for Shipping
Default Tax Class for Product,Default Tax Class for Product
Default Tax Class for Customer,Default Tax Class for Customer
Calculation Settings,Calculation Settings
Tax Calculation Method Based On,Tax Calculation Method Based On
Tax Calculation Based On,Tax Calculation Based On
Catalog Prices,Catalog Prices
This sets whether catalog prices entered from Magento Admin include tax.,This sets whether catalog prices entered from Magento Admin include tax.
Shipping Prices,أسعار الشحن
This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.,This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.
Apply Customer Tax,Apply Customer Tax
Apply Discount On Prices,Apply Discount On Prices
"Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”."
Apply Tax On,Apply Tax On
Enable Cross Border Trade,Enable Cross Border Trade
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate."
Default Tax Destination Calculation,Default Tax Destination Calculation
Default Country,البلد الافتراضي
Default State,Default State
Default Post Code,Default Post Code
Price Display Settings,Price Display Settings
Display Product Prices In Catalog,Display Product Prices In Catalog
Display Shipping Prices,عرض أسعار الشحن
Shopping Cart Display Settings,Shopping Cart Display Settings
Display Prices,Display Prices
Display Subtotal,Display Subtotal
Display Shipping Amount,عرض أسعار الشحن
Include Tax In Order Total,Include Tax In Order Total
Display Full Tax Summary,Display Full Tax Summary
Display Zero Tax Subtotal,Display Zero Tax Subtotal
"Orders, Invoices, Credit Memos Display Settings","Orders, Invoices, Credit Memos Display Settings"
State/Region,ولاية/منطقة
Rate,تقييم
Subtotal Only,الإجمالي فقط
(Excl. Tax),(غير شامل الضريبة)
(Incl. Tax),(شامل الضريبة)
Order Total Excl. Tax,المجموع الكلي غير شامل الضريبة
Order Total Incl. Tax,المجموع شامل الضريبة
Order Total,إجمالي الطلب
Your credit card will be charged for,سيتم الدفع ببطاقة الائتمان الخاصة بك لـ
An error occurred while loading tax rates.,An error occurred while loading tax rates.
Code,رمز
Country,الدولة
State,ولاية
Zip/Post Code,الرمز البريدي
Rate,تقييم
Zip/Post is Range,الرمز البريدي
Range From,الحدود من
Range To,الحدود إلى
Tax Zones and Rates,Tax Zones and Rates
Import and Export Tax Rates,استيراد وتصدير معدلات الضرائب
The tax rate has been imported.,تم استيراد معدل الضريبة.
Invalid file upload attempt,محاولة رفع ملف غير صحيحة
Invalid file upload attempt.,محاولة رفع ملف غير صحيحة.
Invalid file format.,تنسيق ملف غير صالح.
One of the countries has invalid code.,One of the countries has invalid code.
Import Tax Rates,استيراد معدلات الضريبة
Export Tax Rates,تصدير معدلات الضريبة
CSV,CSV
Excel XML,Excel XML
Back,رجوع
Save and Continue,حفظ و إستمرار
Save Configuration,حفظ الضبط
1%,1%
Default,الافتراضي
Themes,مواضيع
Save and Continue Edit,حفظ ومواصلة التعديل
Are you sure you want to delete this theme?,هل أنت متأكد أنك تريد حذف هذه الواجهة؟
Theme: %1,الواجهة: %1
New Theme,واجهة جديدة
Theme CSS,قالب CSS
Theme CSS Assets,Theme CSS Assets
Custom CSS,CSS مخصص
Select CSS File to Upload,اختر ملف CSS لرفعه
Upload CSS File,رفع ملف CSS
Download CSS File,تحميل ملف CSS
Manage,إدارة
Upload Images,رفع صور
Images Assets,Images Assets
Upload Fonts,رفع الخطوط
Fonts Assets,Fonts Assets
Edit custom.css,تعديل custom.css
Allowed file types *.css.,يسمح بالملفات بالامتداد *.css.
This file will replace the current custom.css file and can't be more than 2 MB.,هذا الملف سيتم استبدال الملف custom.css الحالي ولا يمكن أن يكون أكثر من 2 ميغا بايت.
Max file size to upload %1M,الحد الأقصى لحجم الملف للرفع %1M
Something is wrong with the file upload settings.,هناك خطأ في إعدادات رفع الملف.
CSS Editor,محرر CSS
Theme Settings,إعدادات الثيم
Parent Theme,الثيم الأصل
Theme Path,مسار الثيم
Theme Title,عنوان الثيم
Theme Preview Image,صورة معاينة الثيم
General,عام
Copy of %1,نسخة من %1
Max image size %1M,الحد الأقصى لحجم الصورة %1M
Theme JavaScript,الجافا سكريبت للثيم
Select JS Files to Upload,حدد ملفات الجافا سكربت لرفعها
Upload JS Files,رفع ملفات الجافا سكربت
JS Editor,محرر الجافا سكربت
Allowed file types *.js.,يسمح بالملفات بالامتداد *.js.
Theme,الثيم
Media Storage,وسائط التخزين
Create Folder,إنشاء مجلد
Delete Folder,حذف مجلد
Delete File,حذف ملف
Insert File,إدراج ملف
New Folder Name:,اسم المجلد الجديد:
Are you sure you want to delete this folder?,هل أنت متأكد من أنك تريد حذف هذا المجلد؟
Are you sure you want to delete this file?,هل أنت متأكد من أنك تريد حذف هذا الملف؟
Storage Root,جذر التخزين
welcome,اهلا وسهلا
Global,عالمي
Design Configuration,ضبط التصميم
You saved the configuration.,قمت بحفظ الضبط.
Something went wrong while saving this configuration:,حدث خطأ أثناء حفظ هذا التكوين:
You deleted the theme.,قمت بحذف الثيم.
We cannot delete the theme.,لا يمكن حذف الثيم.
File not found: "%1".,لم يتم العثور على الملف: "%1".
We can't find file.,لا يمكننا العثور على الملف.
We cannot find theme "%1".,لا يمكن العثور على الثيم "%1".
We cannot find the theme.,لا يمكن ايجاد الثيم.
This theme is not editable.,هذا الثيم غير قابل للتعديل.
You saved the theme.,تم حفظ الثيم.
We can't upload the CSS file right now.,لا يمكننا تحميل ملف CSS الآن.
We cannot find a theme with id "%1".,لا يمكن العثور على الثيم مع معرف "%1".
We can't upload the JS file right now.,لا يمكننا رفع ملف جافا سكريبت الآن.
"Sorry, something went wrong. That's all we know.",آسف، حدث خطأ. وهذا كل ما نعرفه.
Invalid type,نوع غير صحيح
Invalid scope or scope id,النطاق أو معرف النطاق غير صحيح
%1 does not contain field '%2',%1 لا يحتوي على الحقل '%2'
Invalid regular expression: "%1".,تعبير عادي غير صحيح: "%1".
%1 does not contain field 'file',%1 لا يحتوي على الحقل 'ملف'
Backend model is not specified for %1,لم يتم تحديد نموذج الخلفية ل %1
The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.,يحتوي %templateName على تكوين غير صحيح. القالب يحتوي على مرجع لنفسه. عليك أما إزالة أو تغيير المرجع.
Can not save empty config,لا يمكنك حفظ الملف اعداد فارغ
label,التسمية
-- Please Select --,--الرجاء الاختيار-
The start date can't follow the end date.,تاريخ البدء لا يمكنه تتبع تاريخ الانتهاء.
The date range for this design change overlaps another design change for the specified store.,The date range for this design change overlaps another design change for the specified store.
Copy,انسخ
Theme id should be set,Theme id should be set
Circular-reference in theme inheritance detected for "%1",Circular-reference in theme inheritance detected for "%1"
The CSS file must be less than %1M.,The CSS file must be less than %1M.
The JS file must be less than %1M.,The JS file must be less than %1M.
We can't upload the file right now.,لا يمكننا رفع الملف الآن.
"Use only standard alphanumeric, dashes and underscores.","Use only standard alphanumeric, dashes and underscores."
We found a directory with the same name.,We found a directory with the same name.
We cannot find a directory with this name.,We cannot find a directory with this name.
We can't delete root directory %1 right now.,لا يمكننا حذف جذر الدليل %1 الآن.
Theme isn't deletable.,التصميم ليس قابل للحذف.
Exception message,Exception message
localized exception,localized exception
Message,رسالة
Test Label,Test Label
Phrase,Phrase
testMessage,testMessage
Edit,تعديل
We found no files.,We found no files.
Browse Files,Browse Files
Scope:,النطاق:
Remove,ازالة
Help Us Keep Magento Healthy,Help Us Keep Magento Healthy
Report All Bugs,أبلغ عن كل الثغرات
"Welcome, %1!","مرحبا, %1!"
Toggle Nav,Toggle Nav
JavaScript seems to be disabled in your browser.,JavaScript seems to be disabled in your browser.
"For the best experience on our site, be sure to turn on Javascript in your browser.","For the best experience on our site, be sure to turn on Javascript in your browser."
Local Storage seems to be disabled in your browser.,Local Storage seems to be disabled in your browser.
"For the best experience on our site, be sure to turn on Local Storage in your browser.","For the best experience on our site, be sure to turn on Local Storage in your browser."
This is demo store. No orders will be fulfilled.,This is demo store. No orders will be fulfilled.
Items %1 to %2 of %3 total,عناصر %1 إلى %2 من مجموع %3
%1 Item,%1 عنصر
%1 Item(s),%1 عنصر (عناصر)
Page,حقيبة
Previous,السابق
You're currently reading page,حاليا انت تقرأ الصفحة
Next,التالي
Show,أعرض
per page,لكل صفحة
About the calendar,حول التقويم
Close,غلق
Go Today,الذهاب اليوم
WK,أسبوع
Time,الزمن
Hour,ساعة
Minute,دقيقة
"%name,",%name،
Welcome to %store_name.,مرحبا بك في %store_name.
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:",لتسجيل الدخول إلى موقعنا استخدم بيانات الدخول التالية للشراء أو لإدارة <a href="%customer_url"> عضويتك</a>:
Email:,البريد الإلكتروني:
Password:,كلمة السر:
Password you set when creating account,كلمة المرور التي قمت بتعيينها عند إنشاء الحساب
Forgot your account password? Click <a href="%reset_url">here</a> to reset it.,نسيت كلمة مرور حسابك؟ <a href="%reset_url">اضغط هنا</a> لإعادة تعيينها.
"When you sign in to your account, you will be able to:",عند تسجيل الدخول إلى حسابك، سوف تكون قادراً على:
Proceed through checkout faster,أكمل في الشراء الفوري
Check the status of orders,التحقق من حالة الطلب
View past orders,عرض الطلبات السابقة
Store alternative addresses (for shipping to multiple family members and friends),حفظ عناوين بديلة (للشحن إلى العديد من أفراد العائلة والأصدقاء)
We could not detect a size.,تعذر الكشف عن الحجم.
We don't recognize this file extension.,We don't recognize this file extension.
Empty,فارغ
1 column,1 column
Configuration,الضبط
Default welcome msg!,رسالة الترحيب الافتراضية!
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
Design Config Grid,Design Config Grid
Rebuild design config grid index,Rebuild design config grid index
Admin empty,Admin empty
Admin 1column,Admin 1column
Theme Information,Theme Information
Other Settings,إعدادات أخرى
HTML Head,HTML Head
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
Favicon Icon,رمز الأيقونة
Default Page Title,Default Page Title
Page Title Prefix,Page Title Prefix
Page Title Suffix,Page Title Suffix
Default Meta Description,Default Meta Description
Default Meta Keywords,Default Meta Keywords
This will be included before head closing tag in page HTML.,This will be included before head closing tag in page HTML.
Scripts and Style Sheets,Scripts and Style Sheets
Display Demo Store Notice,إشعار عرض المتجر التجريبي
Header,الترويسة
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
Logo Image,صورة الشعار
Logo Attribute Width,Logo Attribute Width
Logo Attribute Height,Logo Attribute Height
Welcome Text,نص الترحيب
Logo Image Alt,Alt صورة الشعار
Footer,ذيل الصفحة
This will be displayed just before the body closing tag.,هذا سيتم عرضه فقط قبل علامة إغلاق الجسم.
Miscellaneous HTML,HTML المتنوعة
Copyright,حقوق الطبع والنشر
Default Robots,Default Robots
Edit custom instruction of robots.txt File,Edit custom instruction of robots.txt File
This action will delete your custom instructions and reset robots.txt file to system's default settings.,This action will delete your custom instructions and reset robots.txt file to system's default settings.
Reset To Defaults,Reset To Defaults
Website,الموقع
Store,المتجر
Store View,عرض المتجر
Skip to Content,تخطي إلى المحتوى
Menu,القائمة
Account,الحساب
Settings,الإعدادات
2 columns with left bar,2 عمود مع الشريط الأيسر
2 columns with right bar,2 عمود مع الشريط الأيمن
3 columns,3 أعمدة
Dictionary (Translation on Storefront side),قاموس (الترجمة من ناحية الواجهة)
Embedded (Translation on Admin side),مضمن (الترجمة على جانب المشرف)
Error while translating phrase "%s" in file %s.,Error while translating phrase "%s" in file %s.
Error while generating js translation dictionary: "%s",Error while generating js translation dictionary: "%s"
Translation Strategy,استراتيجية الترجمة
Translations,ترجمات
Translation files,ملفات الترجمة
Condition type "%1" is not allowed,نوع الشرط "%1" غير مسموح
The configuration parameter "formElement" is a required for "%1" field.,متغير الإعدادات "فورميليمينت" مطلوب بنسبة "%1" حقل.
Remove %1,إزالة %1
Add New %1,اضف جديد %1
New %1,%1 جديد
Please select item(s).,الرجاء تحديد العنصر (العناصر).
Invalid XML in file %1:\n%2,Invalid XML in file %1:\n%2
.,.
Unsupported bookmark action.,Please enter a valid email address (Ex: johndoe@domain. com).
Parameter "class" must be present.,Parameter "class" must be present.
Parameter "sortOrder" must be present.,Parameter "sortOrder" must be present.
Invalid UI Component element name: '%1',اسم عنصر "مكون واجهة المستخدم" غير صالح: '%1'
Bookmark with id "%1" does not exist.,لا توجد إشارة مرجعية مع معرف "%1".
Invalid UI Component element name: '',اسم عنصر "مكون واجهة المستخدم" غير صالح: '%1'
Cancel,إلغاء
Back,رجوع
Next,التالي
Changes have been made to this section that have not been saved.,تم إجراء تغييرات في هذا القسم و التي لم يتم حفظها.
This tab contains invalid data. Please resolve this before saving.,تحتوي علامة التبويب هذه على بيانات غير صالحة. الرجاء حل هذه قبل الحفظ.
Assign,إسناد
Options,الخيارات
records found,تم العثور على سجلات
selected,مُحدد
of,من
Filters,تصفيات
Add,إضافة
Something went wrong.,لقد حدث خطأ ما.
Yes,نعم
No,لا
Done,انتهى
options,خيارات
Select...,اختر...
Selected,مُحدد
Select All,اختيار الجميع
Deselect All,الغاء تحديد الكل
Select All on This Page,Select All on This Page
Deselect All on This Page,Deselect All on This Page
On,يعمل
Off,لايعمل
Go to Details Page,انتقل إلى صفحة التفاصيل
New View,New View
Default View,طريقة العرض الافتراضية
${ $.visible } out of ${ $.total } visible,${ $.visible } out of ${ $.total } visible
You have successfully saved your edits.,You have successfully saved your edits.
There are {placeholder} messages requires your attention.,There are {placeholder} messages requires your attention.
from,من
to,الى
You haven't selected any items!,You haven't selected any items!
Search by keyword,Search by keyword
Keyword,Keyword
Select Date,اختيار التاريخ
Please enter more or equal than {0} symbols.,Please enter more or equal than {0} symbols.
Please enter less or equal than {0} symbols.,Please enter less or equal than {0} symbols.
Please enter {0} words or less.,Please enter {0} words or less.
Please enter at least {0} words.,Please enter at least {0} words.
Please enter between {0} and {1} words.,Please enter between {0} and {1} words.
Letters or punctuation only please,Letters or punctuation only please
"Letters, numbers, spaces or underscores only please","Letters, numbers, spaces or underscores only please"
Letters only please,Letters only please
No white space please,No white space please
Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx,Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx
A positive or negative non-decimal number please,A positive or negative non-decimal number please
The specified vehicle identification number (VIN) is invalid.,The specified vehicle identification number (VIN) is invalid.
Please enter a correct date,الرجاء إدخال تاريخ صحيح
Vul hier een geldige datum in.,Vul hier een geldige datum in.
"Please enter a valid time, between 00:00 and 23:59",الرجاء إدخال وقت صحيح، بين 00:00 و 23:59
"Please enter a valid time, between 00:00 am and 12:00 pm",الرجاء إدخال وقت صحيح، بين الساعة 00:00 ص و 12:00 م
Please specify a valid phone number,الرجاء إدخال رقم هاتف صحيح
Please specify a valid mobile number,الرجاء إدخال رقم هاتف محمول صحيح
Please enter at least {0} characters,الرجاء إدخال {0} أحرف على الأقل
Please enter a valid credit card number.,الرجاء ادخال رقم بطاقه الائتمان
Please enter a valid IP v4 address.,الرجاء إدخال عنوان IP من نوع v4 صحيح.
Please enter a valid IP v6 address.,الرجاء إدخال عنوان IP من نوع v6 صحيح.
Invalid format.,الصيغة غير صالحة.
HTML tags are not allowed.,اكواد HTML غير مسموح بها.
Please select an option.,يجب إختيار احد الخيارات.
Empty Value.,قيمة فارغة.
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.",الرجاء استخدام الأحرف (a إلى z أو A إلى Z)، الأرقام (0-9) أو مسافات فقط في هذا الحقل.
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.",الرجاء استخدام الأحرف (a إلى z أو A إلى Z)، الأرقام (0-9) أو تسطير أسفل السطر (_) في هذا الحقل، ويجب ان يبدا بحرف.
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.",الرجاء استخدام الأحرف (a إلى z أو A إلى Z)، الأرقام (0-9)، المسافات و "#" في هذا الحقل.
Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.,من فضلك قم بإدخال رقم هاتف صحيح. كمثال (123) 456-7890 أو 123-456-7890.
Please enter a valid fax number (Ex: 123-456-7890).,الرجاء إدخال رقم فاكس صحيح (مثال: 123-456-7890).
Please enter a valid email address (Ex: johndoe@domain.com).,الرجاء إدخال عنوان بريد إلكتروني سليم (مثلاً: johndoe@domain.com).
Please enter 6 or more characters. Leading and trailing spaces will be ignored.,الرجاء إدخال 6 أحرف أو أكثر. سيتم تجاهل المسافات في البداية والنهاية.
"Please enter 7 or more characters, using both numeric and alphabetic.",الرجاء إدخال 7 أحرف أو أكثر، باستخدام كل من الارقام و الأحرف.
Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.,الحد الأدنى لطول هذا الحقل يجب أن تكون مساوية أو أكبر %1. سيتم تجاهل المسافات البادئة والزائدة.
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).",الرجاء إدخال عنوان URL صحيح. مطلوب البروتوكول (http://أو https://أو ftp://).
Please enter a valid URL. For example http://www.example.com or www.example.com.,الرجاء إدخال عنوان URL صحيح. فعلى سبيل المثال http://www.example.com أو www.example.com.
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).",الرجاء إدخال معرف XML صالح. وعلى سبيل المثال ( something_1، block5، id-4.).
Please enter a valid social security number (Ex: 123-45-6789).,الرجاء إدخال رقم الضمان الاجتماعي صالحة (Ex: 123-45-6789).
Please enter a valid zip code (Ex: 90602 or 90602-1234).,الرجاء إدخال رمز بريدي صالح (مثال: 90602 أو 90602-1234).
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.",الرجاء استخدام هذا الشكل حتى الآن : اليوم / الشهر / السنة. فعلى سبيل المثال 17/03/2006 للالسابع عشر من اذار / مارس ، 2006.
Please enter a valid $ amount. For example $100.00.,الرجاء ادخال $ من المبلغ. فعلى سبيل المثال 100،00 $.
Please enter a number 0 or greater in this field.,الرجاء إدخال رقم 0 أو أكبر في هذا الحقل.
Please enter a number greater than 0 in this field.,فضلا قم بادخال رقم اكبر من 0 في الحقل.
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%)."
Please enter a valid number in this field.,الرجاء ادخال عدد في هذا المجال.
Please enter a valid integer in this field.,الرجاء إدخال رقم صحيح في هذه الخانة.
The value is not within the specified range.,القيمة ليست ضمن النطاق المحدد.
Please use letters only (a-z or A-Z) in this field.,الرجاء استخدام الأحرف فقط (من الالف الى الياء) في هذا الحقل.
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.",الرجاء استخدام الأحرف (a إلى z)، الأرقام (0-9) أو تسطير أسفل السطر (_) في هذا الحقل، ويجب ان يبدا بحرف.
Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.,Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.
Please enter a valid date.,الرجاء ادخال تاريخ صحيح.
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","الرجاء إدخال عنوان URL بشكل صحيح (مثال: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"")."
Please enter a valid zip code.,الرجاء إدخال الرمز البريدي.
Please select State/Province.,الرجاء اختيار الدولة / الأقليم.
Please enter a value less than or equal to {0}.,الرجاء إدخال قيمة أقل من أو يساوي إلى {0}.
Please enter a value greater than or equal to {0}.,الرجاء إدخال قيمة أكبر من أو تساوي {0}.
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.",الرجاء إدخال عناوين بريد الإلكتروني صالحة، مفصولة بفواصل. على سبيل المثال، johndoe@domain.com، johnsmith@domain.com.
Please enter issue number or start date for switch/solo card type.,الرجاء إدخال رقم الإصدار أو تاريخ البدء لنوع بطاقة switch/solo.
This is a required field.,هذا الحقل مطلوب.
Please enter positive number in this field.,الرجاء إدخال رقم موجب في هذا الحقل.
"Please enter a valid value, ex: 10,20,30",الرجاء ادخال قيمة ، مثال : 10،20،30
We don't recognize or support this file extension type.,لم نتعرف او ندعم إمتداد هذا الملف.
File you are trying to upload exceeds maximum file size limit.,الملف الذي تحاول تحميل يتجاوز الحجم الأقصى المسموح به للملف.
Please use tag SCRIPT with SRC attribute or with proper content to include JavaScript to the document.,الرجاء استخدام علامة البرنامج النصي مع سمة SRC أو المحتوى المناسب لتشمل جافا سكريبت للمستند.
The date is not within the specified range.,التاريخ ليس ضمن النطاق المعين.
Attention,تنبيه
OK,موافق
Close,غلق
Ok,موافق
Label Button 2,Label Button 2
Label Actions One,Label Actions One
Label Actions Two,Label Actions Two
Some Dynamic Actions,Some Dynamic Actions
Log JS Errors to Session Storage,سجل الأخطاء لجافا سكريبت لتخزين جلسة العمل
Log JS Errors to Session Storage Key,سجل الأخطاء لجافا سكريبت لمفتاح تخزين جلسة العمل
settings/label,settings/label
settings/confirm/title,settings/confirm/title
settings/confirm/message,settings/confirm/message
settings/callback/provider,settings/callback/provider
settings/callback/target,settings/callback/target
settings/newViewLabel,settings/newViewLabel
settings/title,settings/title
settings/description,settings/description
settings/addButtonLabel,settings/addButtonLabel
formElements/*[name(.)=../../@formElement]/settings/description,formElements/*[name(.)=../../@formElement]/settings/description
formElements/*[name(.)=../../@formElement]/settings/caption,formElements/*[name(.)=../../@formElement]/settings/caption
formElements/*[name(.)=../../@formElement]/settings/title,formElements/*[name(.)=../../@formElement]/settings/title
settings/placeholder,settings/placeholder
settings/caption,settings/caption
settings/subTitle,settings/subTitle
settings/visible,settings/visible
settings/showLabel,settings/showLabel
settings/breakLine,settings/breakLine
settings/required,settings/required
settings/size,settings/size
settings/notice,settings/notice
settings/tooltip/description,settings/tooltip/description
settings/addBefore,settings/addBefore
settings/addAfter,settings/addAfter
Action,إجراء
CSV,CSV
Excel XML,Excel XML
Please select one of the options above.,Please select one of the options above.
Please select a file.,Please select a file.
Please select one of the options.,Please select one of the options.
Please enter a value less than or equal to %s.,Please enter a value less than or equal to %s.
Please enter a value greater than or equal to %s.,Please enter a value greater than or equal to %s.
Card type does not match credit card number.,Card type does not match credit card number.
Credit card number does not match credit card type.,Credit card number does not match credit card type.
Incorrect credit card expiration date.,Incorrect credit card expiration date.
Please enter less or equal than %1 symbols.,Please enter less or equal than %1 symbols.
Please enter more or equal than %1 symbols.,Please enter more or equal than %1 symbols.
Please enter a valid value from list,Please enter a valid value from list
Please enter valid SKU key.,Please enter valid SKU key.
Please enter a valid number.,Please enter a valid number.
Admin is a required field in the each row.,Admin is a required field in the each row.
Please fix this field.,Please fix this field.
Please enter a valid date (ISO).,Please enter a valid date (ISO).
Please enter only digits.,Please enter only digits.
Please enter the same value again.,Please enter the same value again.
Please enter no more than {0} characters.,Please enter no more than {0} characters.
Please enter at least {0} characters.,Please enter at least {0} characters.
Please enter a value between {0} and {1} characters long.,Please enter a value between {0} and {1} characters long.
Please enter a value between {0} and {1}.,Please enter a value between {0} and {1}.
UPS Next Day Air,الشحن في اليوم التالي عن طريق الجو UPS
UPS Second Day Air,الشحن في اليوم التالي عن طريق الجو UPS
UPS Ground,شحن ارضي UPS
UPS Worldwide Express,الشحن العالمي السريع UPS
UPS Worldwide Expedited,الشحن العالمي المستعجل UPS
UPS Standard,UPS عادي
UPS Three-Day Select,UPS Three-Day Select
UPS Next Day Air Saver,الشحن في اليوم التالي عن طريق الجو UPS
UPS Next Day Air Early A.M.,شحن في اليوم التالي صباحاً عن طريق الجو UPS.
UPS Worldwide Express Plus,UPS الدولي Express Plus
UPS Second Day Air A.M.,UPS Second Day Air A.M.
UPS Saver,UPS الإدخار
UPS Worldwide Saver,UPS Worldwide Saver
UPS Express,UPS السريع
UPS Expedited,UPS مستعجل
UPS Express Early A.M.,UPS الشحن السريع توصيل الصباح.
UPS Worldwide Express PlusSM,الشحن العالمي السريع (متقدم) UPS
UPS Today Standard,خدمة اليوم من UPS
UPS Today Dedicated Courrier,UPS شحن مستقل اليوم
UPS Today Intercity,UPS Today Intercity
UPS Today Express,خدمة اليوم UPS إكسبريس
UPS Today Express Saver,خدمة اليوم إكسبريس التوفيرية من UPS
UPS Express Plus,UPS السريع (متقدم)
Next Day Air Early AM,Next Day Air Early AM
Next Day Air Early AM Letter,Next Day Air Early AM Letter
